new_word,freq,ratio,category,week,date1,date2
청주의료원,10,0.000977326035965598,사회,1주차,20220102,20220108
감염병전담병원,12,0.0011727912431587178,사회,1주차,20220102,20220108
생활치료센터,75,0.007329945269741986,사회,1주차,20220102,20220108
PCR검사,15,0.0014659890539483972,사회,1주차,20220102,20220108
적용시설,15,0.0014659890539483972,사회,1주차,20220102,20220108
위반사항,18,0.0017591868647380765,사회,1주차,20220102,20220108
방역상황,17,0.0016614542611415168,사회,1주차,20220102,20220108
커피거리,7,0.0006841282251759187,사회,1주차,20220102,20220108
A어린이집,8,0.0007818608287724785,사회,1주차,20220102,20220108
초중학교,8,0.0007818608287724785,사회,1주차,20220102,20220108
민선7기,9,0.0008795934323690383,사회,1주차,20220102,20220108
사업시행자,13,0.0012705238467552776,사회,1주차,20220102,20220108
정부세종청사,31,0.0030297107114933544,사회,1주차,20220102,20220108
감염병예방법,19,0.0018569194683346365,사회,1주차,20220102,20220108
파크골프장,14,0.0013682564503518374,사회,1주차,20220102,20220108
응급의학,10,0.000977326035965598,사회,1주차,20220102,20220108
예방접종대응추진단,42,0.004104769351055512,사회,1주차,20220102,20220108
강북본원,12,0.0011727912431587178,사회,1주차,20220102,20220108
잔여백신,9,0.0008795934323690383,사회,1주차,20220102,20220108
복원사업,9,0.0008795934323690383,사회,1주차,20220102,20220108
읍면사무소,6,0.0005863956215793589,사회,1주차,20220102,20220108
평가등급,6,0.0005863956215793589,사회,1주차,20220102,20220108
기본조례,8,0.0007818608287724785,사회,1주차,20220102,20220108
목욕시설,7,0.0006841282251759187,사회,1주차,20220102,20220108
진화인력,15,0.0014659890539483972,사회,1주차,20220102,20220108
구비서류,6,0.0005863956215793589,사회,1주차,20220102,20220108
담당부서,6,0.0005863956215793589,사회,1주차,20220102,20220108
재난지원,41,0.004007036747458953,사회,1주차,20220102,20220108
재난지원금,38,0.003713838936669273,사회,1주차,20220102,20220108
복지시책,6,0.0005863956215793589,사회,1주차,20220102,20220108
생산기반,6,0.0005863956215793589,사회,1주차,20220102,20220108
계절관리제,8,0.0007818608287724785,사회,1주차,20220102,20220108
주무부처,11,0.0010750586395621578,사회,1주차,20220102,20220108
방역지원금,22,0.0021501172791243157,사회,1주차,20220102,20220108
집합금지,20,0.001954652071931196,사회,1주차,20220102,20220108
이분들,6,0.0005863956215793589,사회,1주차,20220102,20220108
중대재해,47,0.004593432369038311,사회,1주차,20220102,20220108
중대재해처벌법,30,0.0029319781078967944,사회,1주차,20220102,20220108
산림휴양,10,0.000977326035965598,사회,1주차,20220102,20220108
주시기,26,0.0025410476935105552,사회,1주차,20220102,20220108
환경분쟁조정,24,0.0023455824863174357,사회,1주차,20220102,20220108
시장으,14,0.0013682564503518374,사회,1주차,20220102,20220108
지방부이사관,7,0.0006841282251759187,사회,1주차,20220102,20220108
역점사업,6,0.0005863956215793589,사회,1주차,20220102,20220108
